پول پیش,اجاره,متراژ,سال ساخت,تعدار اتاق,آسانسور,پارکینگ,انباری,توضیحات,لینک
۲۸۰٬۰۰۰٬۰۰۰ تومان,مجانی,۶۲,۱۳۹۳,۱,False,True,True,"۶۲متر تک خواب
۴طبقه تک واحدی
طبقه ۴ پله استاندارد
کوچه گذر بی نظیر
نوگیری عالی 
پنجره دوجداره
هود گاز رومیزی
بالکن کاربردی
انباری سندی 
پارکینگ غیر مزاحم
فرعی دنج 
بوستان سعدی قصرالدشت
اخرین بازدیدشما 
فرزادی  ۰۹۱۰۱۸۶۷۰۰۸",https://divar.ir/v/-/gYfN_sMv
۶۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,۱۴۰,۱۴۰۰,۲,True,True,True,"یک واحد ۱۴۰ متری دارای پارکینگ اختصاصی سندی،انباری اختصاصی به متراژ ۴متر ،اسانسور ،سیستم اتش نشانی 
ساختمانی ارام در کوچه ای با گذر ۱۲ 
محله ارام بی مزاحمت دسترسی های اسان 
سالن غرق نور و مناسب برای پرورش گیاهان 
اشپزخانه کابینت ها نو و ناهار خوری دلنشین 
ساختمان کلید نخورده مناسب زوج های جوان 
برای اطلاعات بیشتر تماس 
ادرس ملک ؛یادگار امام جنوب ،خ دستغیب ،کوچه عزیزی 
بهترین دسترسی به یادگار کاملا مناسب برای خانواده هایتان 
باتشکراز برنامه دیوار",https://divar.ir/v/-/gYkp-G6m
۲۰۰٬۰۰۰٬۰۰۰ تومان,۳٬۰۰۰٬۰۰۰ تومان,۷۰,۱۳۸۶,۲,False,False,False,"️ املاک پرشیا️

لوکیشن : خوش نرسیده به اذربایجان

فول بازسازی شده

متراژ : ۷۰
تعداد خواب: ۲
طبقه : ۲
سال ساخت: ۸۶
تک واحدی 

 امکانات: 
✅بالکن
✅کمد دیواری در هردو اتاق

خوش نقشه
نورگیر عالی 
بدون پرتی
سرویس ایرانی و فرنگی
کف سرامیک 

ودیعه : ۲۰۰ میلیون
اجاره : ۳ میلیون
قابل تبدیل

مشاور و امین شما: خانم رضایی",https://divar.ir/v/-/gYkxOgoL
۳۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,۸۵,۱۳۷۵,۲,False,False,False,"آپارتمان 85 متری

موقعیت اداری مسکونی

۲ خواب

خواب های بسیار بزرگ و نورگیر

خواب مستر

کف سرامیک

کمد دیواری بسیار بزرگ

سرویس ایرانی فرنگی

تازه نقاشی شده

نورگیر عالی 

بالکن بزرگ 

قابل تبدیل به ۲۰۰ رهن، ۳ اجاره

مناسب خانواده و مجرد",https://divar.ir/v/-/gYJtENA7
۵۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,۱۲۰,۱۳۸۰,۳,False,False,True,"قصرالدشت محدوده دامپزشکی
دربستی 3 خواب 
صفر تا صد باز سازی شده 
حیاط دار 
پکیج 
کابینت ام دی اف 
سرویس ایرانی و فرنگی 
کولر آبی 
بسیار تمییز
املاک خانه کوچک مشاور طیب لی 09213400713",https://divar.ir/v/-/gYRli4HY
۲۷۰٬۰۰۰٬۰۰۰ تومان,مجانی,۵۲,۱۳۸۶,۲,False,False,False,"ساختمان کم جمعیت و ارام 
محله ی ارام و کوچه پهن دارای جای پارک فراوان
دسترسی عالی به مترو ( 10 دقیقه پیاده ) و مرکز خرید سلسبیل
دسترسی عالی به مراکز خرید 
طبقه سوم دو خواب 
خوش نقشه و نورگیر عالی
دارای حیاط و تراس",https://divar.ir/v/-/gYaFrYLD
۲۵۰٬۰۰۰٬۰۰۰ تومان,۶٬۰۰۰٬۰۰۰ تومان,۱۰۰,۱۳۸۳,۲,False,True,True,"❇️جیحون بین طوس و بهنود
✅100متر 2خواب

✅تکواحدی

✅طبقه همکف

✅حیاط خلوت مسقف

✅پارکینگ

✅انباری

✅هر دو خواب دارای کمد دیواری های بزرگ

✅سرویس ایرانی و فرنگی

✅کابینت ام دی اف

✅هود

✅تخلیه

❇️❇️❇️❇️❇️❇️❇️❇️❇️❇️❇️❇️
✅مشاعات تمیز و عالی
✅دسترسی عالی به مترو شادمان
 و خیابان آزادی

❇️❇️❇️❇️❇️❇️❇️❇️❇️❇️❇️❇️❇️
مشاور تخصصی منطقه 10

مهندس شفیعی.   09124199989",https://divar.ir/v/-/gYkp-pYK
۲۵۰٬۰۰۰٬۰۰۰ تومان,۲٬۲۰۰٬۰۰۰ تومان,۵۰,۱۳۹۶,۱,True,True,True,"۵۰ متر آذربایجان بین قصرلدشت و خوش

سالن مربع خوش نقشه بدون پرتی

سالن پرده خور نور عالی 

دارای.  پارکینگ.   انباری.    بالکن.    آسانسور. 

گذر کوچه ودسترسی محلی عالی

مناسب خانواده ومجرد موجه

اطلاعات بیشتر درتماس شما

املاک عطا مشاور منطقه نباتی

تلفن.       تماس.         09127976292",https://divar.ir/v/-/gYkd-Qks
۲۰۰٬۰۰۰٬۰۰۰ تومان,۳٬۰۰۰٬۰۰۰ تومان,۷۰,۱۳۸۸,۲,False,False,True,"/////  املاک بزرگ آینده ///////

۷۰ متر ۲ خواب خوش نقشه بدون پرتی
سالن مربع ونورگیر

اتاق های بزرگ وتخت خور
کمددیواریهای جادار

بالکن کارآمد
کابینت  mdf وگاز رومیزی

پکیج
سرویس ایرانی وفرنگی 

مشاعات تمیز وسنگ شده
۴ طبقه تک واحدی

گذرپهن وجای پارک فراوان
دسترسی اسان به مترو وبی آرتی ومراکز خرید

لطفا بابت هماهنگی با این شماره تماس گرفته شود ۰۹۱۰۰۵۹۹۶۶۲ بیگی",https://divar.ir/v/-/gYkheQ0B
۲۵۰٬۰۰۰٬۰۰۰ تومان,مجانی,۵۹,۱۳۸۷,۱,False,False,False,"۵۹متر ۱خواب
بسیار خوش نقشه با چیدمانی عالی
نورگیر و افتابگیر بینظیر
۴ طبقه ی تکواحدی،طبقه ی سوم رویتی
بهترین لو‌کیشن منطقه(طوس مابین قصرالدشت و خوش)
سالن پرده خور
حمام مستر
جای پارک‌ فراوان
واحد تخلیه و اماده ی تحویل
مناسب برای خانواده و مجرد موجه
دسترسی اسان به مترو نواب،خیابان اذربایجان، مراکز خرید و...

                 ***غیر قابل تبدیل***
مشاوره منطقه وثوق
09300466475",https://divar.ir/v/-/gYhRSCnc
۳۲۰٬۰۰۰٬۰۰۰ تومان,۳٬۶۰۰٬۰۰۰ تومان,۶۸,۱۳۹۶,۲,True,False,True,"واحد 68متری دوخوابه سرتاسر نور کف سنگ کابینت ام دی اف کمد دیواری ،بالکن ،توالت ایرانی فرنگی تک واحدی کل ساختمان 4واحد با آسانسور و انباری پکیج و کولر آبی در کوچه دنج
بین رودکی و خوش ک مجید یک هفته ای آماده تخلیه",https://divar.ir/v/-/gYkxjpF3
۲۰۰٬۰۰۰٬۰۰۰ تومان,۳٬۰۰۰٬۰۰۰ تومان,۷۰,۱۳۸۶,۲,False,False,False,بازسازی کامل طبقه دوم کمد دیواری بزرگ درهر اتاق خواب و تراس,https://divar.ir/v/-/gYkh26qR
۲۶۹٬۰۰۰٬۰۰۰ تومان,مجانی,۵۷,۱۳۹۱,۱,False,True,True,"آپارتمان ٥٧ متری یک خوابه 
داراى پارکینگ ماشین و موتور 
بازسازی شده، کف سرامیک، دیوارها کاغذ دیوارى طرح دار قابل شستشو، بالکن با پنجره قدی،
نورگیری عالی اتاق خواب همراه با کمد دیوارى و حمام مَستر، سرویس ایرانی و فرنگی، کل منزل نور گیر و خوش نقشه
آشپزخانه بزرگ با کابینت ام دی اف، هود و گاز رومیزی ایتالیایى، کولر آبى، سیستم گرمایش شوفاژ و امکان نصب بخاری، آیفون تصویری، پنجره هاى دو جداره جیوه اى، انبارى بزرگ و جا دار 
.
محل ساختمان در یکى از کوچه هاى دنج و خلوت مرکز شهر تهران،
قصرالدشت و تقاطع بوستان واقع شده
ساختمان ٤ طبقه تک واحدى 
کم تردد و کم سر و صدا 
دسترسی آسان و سریع به مترو و بی آرتی
،
واحد تخلیه شده مى باشد
گودرزى",https://divar.ir/v/-/gYktluAR
۲۰۰٬۰۰۰٬۰۰۰ تومان,۳٬۰۰۰٬۰۰۰ تومان,۵۵,۱۳۸۵,۱,False,True,True,"55متری پارکینگدار خوش نقشه 

✔ط اول 
✔جنوبی
     ✔  4ط دوواحدی 
✔کابینت ام دی اف و هود
✔   پارکینگ غیر مزاحم
 ✔  انباری
✔   بالکن
   ✔  کفپوش پی وی سی
✔کمددیواری بزرگ
 ✔ کولروبخاری
✔  غرق نور
   ✔ خوش نقشه
✔بسیار شیک و لوکس
       ✔  در محیطی دنج و آروم


          **5 اردیبهشت تخلیه میشه**

قابل تبدیل تا 250 اجاره کمتر

  **بازدید مساوی قرارداد صددرصد**

    عجله کنید.       با ما تماس بگیرید

متخصص شما در امور ملکی تان
املاک سناتور

09195594252
09397977400",https://divar.ir/v/-/gYexmtpO
۱۰۰٬۰۰۰٬۰۰۰ تومان,۲٬۵۰۰٬۰۰۰ تومان,۳۲,۱۳۸۲,۱,False,False,True,"طوس.قبل.قصردشت.احمدی
.کابینت.فلز.کف.سرامیک..
.سرویس.بهداشتی.با هم..
کمد.تکواحدی.مناسب.
دانشجو.کارمند بازدید.به
09126758826تماس..
..املاک.طوس...دادگر...
لطفا.لطفا.املاک.زنگ.نزن.
...تبدیل اجاره بیشتر..",https://divar.ir/v/-/gYkBRIEl
۵۱۵٬۰۰۰٬۰۰۰ تومان,مجانی,۱۷۰,۱۳۷۱,۴,False,True,True,"بهترین فرعی منطقه 
دسترسی به مترو و بی ار تی و میدون ازاذی زیر ۴دقیقه

تک واحدی سه بر غرق در نور و افتاب 
بدون مالک 
پارسال موکت کف عوض شده و واحد کامل نقاشی شده 
کابینت ام دی اف 
دو جای پارک اختصاصی 
انباری 
تا ۳۵۰قابل تبدیل 
اجاره فوری 

حیدری ۰۹۱۲۹۳۴۴۴۰۷",https://divar.ir/v/-/gYkdukKY
۲۵۰٬۰۰۰٬۰۰۰ تومان,مجانی,۶۴,۱۳۸۴,۲,False,False,True,موردمجردی طبقه چهار ۶۴متر دوخوابه تکواحدی تخلیه اماده تحویل طوس جیحون۲۵۰رهن تبدیل تا ۱۵۰۰۰۰۰۰۰با3000000اجاره,https://divar.ir/v/-/gYghfqyS
۱۰۰٬۰۰۰٬۰۰۰ تومان,۳٬۵۰۰٬۰۰۰ تومان,۵۵,۱۳۹۰,۱,False,True,False,"55 متر
تک خواب
     طبقه اول
            تک واحدی
پارکینگ
بالکن
09010510687.          اصلانی
       املاک بزرگ آلفا",https://divar.ir/v/-/gYkJuWrj
۴۰۰٬۰۰۰٬۰۰۰ تومان,۲٬۵۰۰٬۰۰۰ تومان,۱۱۵,۱۳۸۵,۳,False,True,True,"املاک بزرگ سام

خوش نقشه و نورگیر

دو طبقه دو واحد خورجینی (هر نیم طبقه یک واحد)

امکانات: گرمایش و ابگرم موتورخانه مرکزی

سرمایش کولر ابی

پر نور و ۲ بر نورگیر

پارکینگ + پارکینگ مهمان

ازادی بن بست نورانی

ودیعه ۴۰۰ میلیون
اجاره ۲/۵۰۰

مشاور اسلامی
۰۹۹۱۲۷۹۷۱۴۹",https://divar.ir/v/-/gYkNQFap
۹۰٬۰۰۰٬۰۰۰ تومان,۴٬۰۰۰٬۰۰۰ تومان,۵۵,۱۳۸۳,۱,False,False,True,"⚛⚛⚛⚛بنام همیشگی⚛⚛⚛⚛
درود
⚛⚛واحد ۵۵ متری تک خوابه⚛⚛
⚛⚛طبقه همکف و اول تک واحدی، طبقه دوم و سوم دو واحدی میباشد⚛⚛
⚛⚛واحد فوق، واقع در طبقه سوم میباشد⚛⚛
⚛⚛عکسهای واحد گویاست میباشد، بسیار خوش نقشه و پر نور میباشد⚛⚛
⚛⚛مناسب برای زوج و مجرد موجه میباشد⚛⚛
♏۰۹۱۹۸۲۸۲۲۷۳ ♏محمد ♏۰۹۱۹۸۸۹۹۹۶۰♏",https://divar.ir/v/-/gYktkQkr
۳۵٬۰۰۰٬۰۰۰ تومان,۴٬۵۰۰٬۰۰۰ تومان,۴۹,۱۳۷۵,۱,False,False,False,"آپارتمان  ۴۹ متر 
یک خواب
کف سرامیک
کابینت فلز 
سرویس باهم
دسترسی خوب 
استاد معین غیاث وند پشت پارک المهدی 
مجرد آقا",https://divar.ir/v/-/gYjx_Vvd
۵۰٬۰۰۰٬۰۰۰ تومان,۴٬۰۰۰٬۰۰۰ تومان,۶۰,قبل از ۱۳۷۰,۱,False,False,True,"واحد ۶۰متر
یکخواب   
طبقه ۱
ساختمان آرام و دنج  
تراس 
انباری کاذب 
نور و نقشه عالی 
دسترسی عالی
فوری 
مناسب زوج و مجرد موجه 
 ۱ خرداد تخلیه
قابل تبدیل به اجاره بیشتر 
۲۱متری بین طوس و دامپزشکی 
مشاور شما غلامی ۰۹۱۲۷۷۱۲۵۸۱
بازدید با هماهنگی",https://divar.ir/v/-/gYkxi4sK
۸۵٬۰۰۰٬۰۰۰ تومان,۴٬۲۰۰٬۰۰۰ تومان,۵۰,۱۳۹۱,۱,False,True,False,دارای پارکینگ و دسترسی عالی به مترو نواب,https://divar.ir/v/-/gYjFu4Kv
۶۰۰٬۰۰۰٬۰۰۰ تومان,توافقی,۱۱۰,۱۴۰۰,۲,True,True,True,"املاک بزرگ اسمان پارسا

۱۱۰متر  /// رهن کامل
کلید نخورده  خوش نقشه
انباری پارکینگ اسانسور 
کابینت ام دی اف /پکیج
دسترسی به مترو بی ارتی واماکن درمانی وخرید
گذر مناسب///قابلیت تبدیل ودیعه واجاره

تماس: ۰۹۲۱۴۱۳۹۶۴۹///سامان",https://divar.ir/v/-/gYf9aNyG
۷۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,۱۱۲,۱۳۹۳,۲,True,True,True,"✅112متر 
✅طبقه سوم
✅دوخواب 
✅آسانسور
✅پارکینگ غیرمزاحم 
✅انباری ، تراس 
✅کابینت تمام‌MDF هود گاز رومیزی
✅سیستم گرمایش پکیج
✅کمد دیواری هردو اتاق خواب
✅تخلیه 31 /2 /
✅خوش نقشه و نورگیر عالی با چیدمان عالی سالن پرده خور
✅آدرس املاک خیابان آذربایجان بین قصرالدشت
خوش نبش کوچه حضرت علی
✅مسکن کیان پلاک933
✅مشاوره شما اردستانی 09123865724",https://divar.ir/v/-/gYgJRB1h
۷۰٬۰۰۰٬۰۰۰ تومان,۴٬۵۰۰٬۰۰۰ تومان,۴۰,۱۳۸۸,۱,False,False,True,"با سلام
 مشاورین املاک نایب
40متراپارتمان
قابل تبدیل
دسترسی اسن مترو بی ار تی 
یکدودقیقه پیاده با خیابان آزادی
 ام دی اف کف سرامیک
 تخلیه
 3طبقه 2 واحدی 
دامپزشکی بعد از جیحون پلاک590 
مشاور شما وطن دوست
09190157754 66372392 
09908642608 خانم کاظمی",https://divar.ir/v/-/gYj1sEqG
۵۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,۷۸,۱۳۹۶,۲,True,True,True,"______مشاورین املاک ویرا______
املاک ویرا ⭐املاک منطقه را از مشاور املاک منطقه بخواهید.
مشاورین املاک ویرا، شعبه دکتر هوشیار (استادمعین)

امکانات آپارتمان:
✅دسترسی عالی، محله دنج و خلوت
✅۲ پارکینگ غیر مزاحم
✅ دو خواب
✅ گاز رومیزی ، هود و ......
تبدیل برای تازه عروس و داماد

++++++++املاک ویرا++++++++
متین: 09102007466
خیابان دکتر هوشیار، تقاطع گرانمایه",https://divar.ir/v/-/gYk9D8ST
۳۳۰٬۰۰۰٬۰۰۰ تومان,مجانی,۷۵,۱۳۹۹,۲,True,False,True,"املاک پرشیا 
استاد معین هاشمی
۷۵ متری
دوخواب
طبقه ۴
۴طبقه دو واحدی 

آسانسور
انباری
بالکن
پارکینگ اجاره ای موجود است
دوربین مداربسته
کف سرامیک
نورگیر عالی
سالن پرده خور

رهن کامل ۳۳۰ م
غیرقابل تبدیل

مشاور شما ثابت قدم",https://divar.ir/v/-/gYjJa4RX
۷۵٬۰۰۰٬۰۰۰ تومان,۳٬۶۰۰٬۰۰۰ تومان,۵۲,۱۳۸۴,۱,False,False,False,"قصرالدشت/بوستان 
52 متر فول باز سازی شده
نورگیر فوق العاده عالی
کابینت mdf، گاز رومیزی، هود
لوکیشن عالی
مناسب مجرد و خانواده 
دسترسی به مترو و بی ارتی 10 دقیقه
تخلیه آماده قرار داد
فوری فوری  
مشاور منطقه: زارع:09190407209
آدرس املاک: خ قصرالدشت نرسیده به هاشمی جنب مسجد رضوی پلاک 366

                  { املاک خانه نو }",https://divar.ir/v/-/gYjJ8Whr
۳۳۰٬۰۰۰٬۰۰۰ تومان,مجانی,۶۳,۱۳۹۳,۱,True,True,True,"دارای پارکینگ
دارای انباری
دارای آسانسور
دسترسی رات به مترو و بی آر تی
تخفیف برای ذوج های جوان",https://divar.ir/v/-/gYjZ7_6r
۱۵۰٬۰۰۰٬۰۰۰ تومان,۲۵۰٬۰۰۰ تومان,۳۳,۱۳۸۳,بدون اتاق,False,False,True,"پیاده ۵دقیقه تامتروشادمان
تبدیل بهاجاره۲م و۵۰۰ت ویعه۳۱م
زیرزمین تمیزتازه نقاشی شده
طوسی بین کارون وقصردشت
کف سامیک
آشپزخانه اوپن
کولرگازی
بخاری
درب زد سرقت
لطفافقط مصرف کننده تماس گیرد
دلالان محترم تماس نگیرند

سپاس از دیوار",https://divar.ir/v/-/gYi1ner9
۲۲۰٬۰۰۰٬۰۰۰ تومان,۲٬۵۰۰٬۰۰۰ تومان,۵۵,۱۳۹۱,۱,True,False,True,"۵۵متری یک خوابه 
نورگیر عالی 
دسترسی عالی 

پکیج 
اسانسور 
انباری 
تخت خواب تاشو و کتابخانه در اتاق خواب 
مهجز به دوربین مدار بسته 
دارای دو خط تلفن 
اینترنت نامحدود

کابینت ام دی اف
گاز رومیزی 
هود 

کارشناس منطقه :اقایی ۰۹۳۸۶۹۸۱۶۶۶
املاک پاسارگاد ۶۶۸۷۶۳۶۷",https://divar.ir/v/-/gYk99gUZ
۲۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,۴۵,۱۳۹۵,۱,True,False,True,"تک واحدی
آسانسور
انباری
بالکن
بازسازی شده
کف سرامیک
نما سنگ
رهن کامل
هاشمی۰۹۱۲۱۸۶۷۵۰۱",https://divar.ir/v/-/gYb98L4F
۲۵۰٬۰۰۰٬۰۰۰ تومان,مجانی,۴۵,۱۳۹۵,۱,True,True,True,"املاک بزرگ اتحاد 
خ امام خمینی تقاطع کارون پلاک ۷۳۷

۴۵متر
پارکینگ و انباری و آسانسور 
۵ ساله

کارشناس تخصصی منطقه
خانم فرهمند",https://divar.ir/v/-/gYgV-nKb
۳۲۰٬۰۰۰٬۰۰۰ تومان,مجانی,۶۱,۱۳۸۵,۲,False,True,True,"اپارتمان دوخواب 
تمیز و مرتب 
چهارتا تک واحدی 
پارکینگ اختصاصی  انباری  بالکن
سرویسها جدا   
حمام مستر
دسترسی به مترو شادمان و BRT ۵ دقیقه
هود  گاز رومیزی 
فول کابینت 
فقط خانواده 
مشاور منطقه وزینی
۰۹۱۲۲۲۵۵۲۴۱",https://divar.ir/v/-/gYcJVIks
۳۳۰٬۰۰۰٬۰۰۰ تومان,۱۰۰٬۰۰۰ تومان,۶۰,۱۳۹۳,۲,True,True,True,"60 متر دوخوابه فول امکانات

پارکینگ

آسانسور

انباری

بالکن

طبقه 5 نورگیر عالی
جهت هماهنگی برای بازدید تماس بگیرید
سلطانی  مشاور",https://divar.ir/v/-/gYjR7sMS
۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۰۰۰٬۰۰۰ تومان,۴۰۰,قبل از ۱۳۷۰,۲,False,False,False,این ملک 400 متر بنا در چهار واحد مجزا دارای یک پارکینگ 25 متری میباشد روبروی مترو استاد معین مناسب برای شرکتها و ارگانها و دانش بنیانها کلینیک و وکلا و پانسیون با موقعیت اداری,https://divar.ir/v/-/gYj95v9O
۳۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,۸۳,قبل از ۱۳۷۰,۲,False,False,False,"(فوری)
آپارتمان بر خیابان قصرالدشت
۸۳ متر دو خواب
نور عالی
تازه رنگ شده 
کمد دیواریهای بزرگ
سرویس بهداشتی ایرانی و فرنگی
طبقه سوم 
مناسب مطب، دفتر، منزل
سیصد میلیون رهن کامل قابل تبدیل تا دویست میلیون رهن مابقی اجاره",https://divar.ir/v/-/gYQRaNzk
۲۷۰٬۰۰۰٬۰۰۰ تومان,مجانی,۵۵,۱۳۸۵,۲,False,False,False,"55متری دوخوابه خوش نقشه تکواحدی
                 قلب آذربایجان  

✔دوخوابه
✔جنوبی
  ✔ ط سوم
✔4ط تکواحدی
        ✔ کف سرامیک
✔دارای بالکن
    ✔کمددیواریهای بزرگ    
✔کولر و بخاری
              ✔ غرق نور
✔خوش نقشه و خوش ساخت
 ✔  بسیارشیک و لوکس
✔کوچه پهن.    جای پارک فراوان
 ✔ در محیطی دنج و عالی
  ✔ دسترسی عالی به مترو و مرکز خرید سلسبیل

اولین قدم تماس با ماست
   انتخاب نهایی با شماست  

متخصص شما در امور ملکی تان
املاک سناتور

09195594252
09397977400",https://divar.ir/v/-/gYeRYW-7
دو,۵۰۰٬۰۰۰٬۰۰۰ تومان,۲۰۰,۱۲۰,۱۳۷۵,True,True,True,"ملک مورد نظر بر خ کلهر حد فاصل خ خوش و رودکی
بازسازی شده
دو طبقه و نیم 
زیر زمین به اندازه حدود 30 متر / حیاط جای پارک دو ماشین/ سرویس بهداشتی تو حیاط/ طبقه همکف دارای پذیرایی و آشپزخانه mdf  و سرویس بهداشتی کامل و به صورت مجزا/ طبقه بالای همکف یه پذیرایی بزرگ به همراه آشپزخونه mdf با گاز رومیزی و هود و تراس بزرگ رو به آفتاب/ نیم طبقه آخر یه خواب بزرگ و تراس بزرگ به همراه کمد و سرویس مجزا با توالت فرنگی و ایرانی
اماده تحویل
زمین 120
قابل تبدیل تا ۴۰۰ م الباقی اجاره
در صورت تبدیل به اجاره بیشتر تخفیف دارد
لطفا همکارای محترم تماس نگیرید. با تشکر
املاک: فرهمند",https://divar.ir/v/-/QY-z6oXQ
۲۵۰٬۰۰۰٬۰۰۰ تومان,مجانی,۵۷,۱۳۹۷,۱,True,False,True,"املاک بزرگ سام 

تخصص ما خرید فروش رهن و اجاره در منطقه 9 و 10 می باشد


لوکشین یادگار / هاشمی / 

۵۷ متر 
تک خواب مستر 
5طبقه ای دو واحدی /طبقه 3



✅آسانسور 
✅ انباری 
✅بالکن 

سال ساخت : 97

گذر پهن 10 متری/ دسترسی آسان به بزرگراه یادگار امام 


قیمت  : برای رهن (۲۵۰)❗",https://divar.ir/v/-/gYi9ItNc
